query	positive	negative
rebate for this product	"NewAge Products Performance 75 in. H x 78 in. W x 18 in. D Steel Garage Cabinet Set in Black (5-Piece)$A sleek black matte finish, complimented by a resilient silver frame and robust handles; add a features list reminiscent of any top-end cabinet, which are valued in the thousands - can finally be called yours. The included shelf within base cabinets, three 9 in. tool drawers and 3 steel shelves within the locker makes for some great storage options. The Performance series come fully welded, so the only nuts and bolts needed are to affix the feet and handles. And because your work space is unique, our Performance cabinets feature fully adjustable leveling legs or casters to get your stainless steel worktop were you need it. Just like the trunk on your car, the gas assist pneumatic springs in the wall cabinets openly effortlessly giving you unrestricted access and an excellent view into the cabinet interior for easy access of storage items. Nickel plated ball bearing telescopic drawer slides combined with your powder-coated steel cabinets make the Performance series ready for battle - Clutter does not stand a chance.Your 5-piece set includes: 1-locker cabinet 30 in. W x 75 in. H x 18 in. D, 2 wall cabinets 18 in. H x 24 in. W x 12 in. D, one 3-drawer tool cabinet 33 in. H x 24 in. W x 16 in. D and one 48 in. stainless steel top 48 in. L x 17.25 in. D x 1 in. HFrameless design for a modern lookPowder-coated matte black finished doors on a matte silver-grey frameFully lockable for maximum securityRobust 1/2 in. stainless steel handlesGas assist pneumatic hinge assisting the ""flip-up"" wall cabinetsSilver-gray matte racing strip on lockersChrome finished leveling legs for height adjustabilityStainless steel worktopCabinets made of 24-Gauge welded steel frame$"	Handy Home Products Installed Majestic 8 ft. x 12 ft. Wood Storage Shed with Black Onyx Shingles$The purchase price above of this Majestic 8 ft. x 12 ft. Wood Storage Shed by Handy Home Products includes onyx black shingles and floor decking as well as home delivery and professional installation. Designed for maximum storage potential, the Handy Home Products Majestic 8 ft. x 12 ft. wood storage shed features an additional 48 sq. ft. of overhead storage space. The light brown wood siding allows you to customize your shed with paint (not included) to match your home. This wide gable-style building also features 2 over-door transom windows and generous 7 ft. H sidewalls for extra headroom. The lockable door latch will help you feel safe and secure with your stored belongings. Purchase is non-refundable once installation has occurred.Includes onyx black shingles, floor decking, worry-free delivery and on-site installation with purchase48 hours after purchase, contact will be made to set installation appointmentOn installation day, contact will be made to confirm and installers will arrive with your new shedInstallation will be completed along with a follow-up by customer service within 72 hoursPre-primed treated siding is ready to paint (sold separately) and resists termites, rot and decayIncludes treated wood floor frame and 5/8 in. OSB decking is included with installationIncluded onyx black asphalt shingles help to protect against all types of weatherIncludes wrap-around loft for an additional 48 sq. ft. of overhead storageIncludes 8 ft. shelf or work surface768 cu. ft. storage capacity provides space to stow your gardening tools and yard equipment when not in useIncludes 2 over-the-door transom windowsPre-assembled, pre-hung doors with continuous hinges, feature a large 64 in. wide opening to accommodate most lawn tractorsHeavy-duty locking handle will help make you feel safe and secure with your belongings10-year limited material warrantyIn stock at select locationsAdditional charges may be required for adherence to local building codesPurchase is non-refundable once installation has been completedVerify availability by clicking the handy zip code locator:$12#8#144 in#108 in#96 in#No#Includes onyx black shingles, floor decking, worry-free delivery and on-site installation with purchase#48 hours after purchase, contact will be made to set installation appointment#On installation day, contact will be made to confirm and installers will arrive with your new shed#Installation will be completed along with a follow-up by customer service within 72 hours#Pre-primed treated siding is ready to paint (sold separately) and resists termites, rot and decay#Includes treated wood floor frame and 5/8 in. OSB decking is included with installation#Included onyx black asphalt shingles help to protect against all types of weather#Includes wrap-around loft for an additional 48 sq. ft. of overhead storage#Includes 8 ft. shelf or work surface#768 cu. ft. storage capacity provides space to stow your gardening tools and yard equipment when not in use#Includes 2 over-the-door transom windows#Pre-assembled, pre-hung doors with continuous hinges, feature a large 64 in. wide opening to accommodate most lawn tractors#Heavy-duty locking handle will help make you feel safe and secure with your belongings#10-year limited material warranty#In stock at select locations#Additional charges may be required for adherence to local building codes#Purchase is non-refundable once installation has been completed#Multi#72#5#64#8 ft x 12 ft#With Floor and Runners#30#110#Handy Home Products#2#2#1128 lb#Black#6.5/12#Peak#Double#Door Latch,Double Door,Lockable Door,Loft,Shelving,Windows#Ranch#84#Beige/bisque#768
desalt impact 18	Ryobi ONE+ 18-Volt 3-Speed Lithium-Ion 1/2 in. Cordless Impact Wrench Kit$The new and improved Ryobi 18-Volt ONE+ 3-Speed 1/2 in. Impact Wrench Kit is more compact and more powerful than the previous model. With this new design, it produces 300 ft. lbs. of torque and up to 3,200 impacts per minute allowing you to use this tool for a variety of heavy-duty applications. This tool features a 3-Speed selector switch and tri-beam LED lights. Get the most performance out of your tool with the included 18-Volt ONE+ 4Ah High Capacity Battery which improves the performance of ONE+ tools up to 35%. The Ryobi 18-Volt ONE+ 3-Speed 1/2 in. Impact Wrench works with any 18-Volt ONE+ battery and is a part of the ONE+ System of over 50 great tools that all work with the same 18-Volt battery platform.California residents: see&nbsp;Proposition 65 informationImpact mechanism produces 300 ft. lbs. torque and up to 3,200 impacts per minute (IPM) for a variety of heavy-duty applicationsPowerful motor allows for tightening or loosening various nuts and bolts3-speed selector switch offers greater control over a wide range of fastening applicationsTri-beam LED light increases work area visibility1/2 in. square anvil with detent pin retention for easy and secure socket connectionNew and improved GripZone overmold for optimum grip and user comfortDual chemistry charger charges Ryobi 18-Volt ONE+ batteries in as little as 30 minutesIndicator lights show status as batteries are charged and maintainedTemperature LED indicates when the battery is too hot or cold to chargeMaintenance mode batteries stored on charger are conditioned for peak performanceEnergy save mode conserves energy when not charging or maintaining battery, protects battery cells and maximizes battery lifeHigh capacity 4Ah lithium+ battery provides up to 4X extended runtime, improves the performance of ONE+ tools up to 35%, is 20% lighter weight and holds charge 4X longer (compared to 18-Volt Ni-Cd P100)Includes P261 3-speed 1/2 in. impact wrench, P117 dual chemistry charger and P108 18-Volt ONE+ high capacity lithium+ batteryHome Depot Protection Plan:$0#6.69 in#8.03 in#10.24 in#Yes#4#Lithium Ion#18-volt#Impact mechanism produces 300 ft. lbs. torque and up to 3,200 impacts per minute (IPM) for a variety of heavy-duty applications#Powerful motor allows for tightening or loosening various nuts and bolts#3-speed selector switch offers greater control over a wide range of fastening applications#Tri-beam LED light increases work area visibility#1/2 in. square anvil with detent pin retention for easy and secure socket connection#New and improved GripZone overmold for optimum grip and user comfort#Dual chemistry charger charges Ryobi 18-Volt ONE+ batteries in as little as 30 minutes#Indicator lights show status as batteries are charged and maintained#Temperature LED indicates when the battery is too hot or cold to charge#Maintenance mode batteries stored on charger are conditioned for peak performance#Energy save mode conserves energy when not charging or maintaining battery, protects battery cells and maximizes battery life#High capacity 4Ah lithium+ battery provides up to 4X extended runtime, improves the performance of ONE+ tools up to 35%, is 20% lighter weight and holds charge 4X longer (compared to 18-Volt Ni-Cd P100)#Includes P261 3-speed 1/2 in. impact wrench, P117 dual chemistry charger and P108 18-Volt ONE+ high capacity lithium+ battery#1-UL Listed#Yes#Green#Impact Wrench#Cordless#1/2#Yes#3200#2900#Ryobi#1#LED Light#Cordless#3#7.75#3.45#8#No#Power Tool#3600#18	"Ryobi ONE+ 18-Volt Lithium-Ion Cordless Drill/Driver and Impact Driver Kit (2-Tool)$Ryobi 18-Volt ONE+ introduces lithium-ion performance at Ni-Cd prices. This kit is powered by new and improved lithium-ion batteries. They hold a charge four times longer, offer up to 20% more run time and are 45% lighter weight than Ni-Cd batteries. Batteries stored on the IntelliPort charger are conditioned for peak performance. The drill includes a 1/2 in. heavy-duty single sleeve, keyless chuck with 24 position clutch to match your drilling and driving needs. The impact driver has a variable speed trigger and 1500 in. lbs. of torque provide control and power when driving long and large screwed or bolts. They both feature the exclusive MagTray and on-board bit storage, which allow convenient placement of bits and screws.California residents: see&nbsp;Proposition 65 informationIncludes: 1/2 in. drill, 1/4 in. impact driver, (2) P102 18-Volt ONE+ compact lithium-ion batteries and P118 dual chemistry chargerDrill features 24 position clutch and 2-speed gear box to match your drilling and driving needsImpact driver delivers 1500 in. lbs. of torque for the most demanding applicationsBattery provides up to 20% more run time compared to 18-Volt Ni-Cd (P100)Battery is 45% lighter weight to reduce user fatigueBattery features fade-free power for maximum performanceCharger features patented intelliport technology, which protects battery cells, maximizes battery life and conserves energyCharges the included batteries in 30 minutesImpact driver: MagTray magnetic holder for convenient placement of screws and bitsImpact driver: on-board bit storage for convenienceDrill and impact driver also works with these batteries (P100, P102, P103, P104, P105, P107 and P108) and chargers (P113, P114, P117, P131 and P125)Any 18-Volt ONE+ battery works with any 18-Volt ONE+ toolJoin Ryobi Nation and have an opportunity to win prizes, share your Ryobi power tool experiences and receive exclusive offers for Nation members, Just click on the link to get started https://www.Ryobitools.com/nationJoin Ryobi Nation and have an opportunity to win prizes, share your Ryobi power tool experiences and receive exclusive offers for Nation members, Just click on the link to get started https://www.Ryobitools.com/nationHome Depot Protection Plan:Battery comparison:$Yes#1.3#Lithium Ion#Lithium Ion#Includes: 1/2 in. drill, 1/4 in. impact driver, (2) P102 18-Volt ONE+ compact lithium-ion batteries and P118 dual chemistry charger#Drill features 24 position clutch and 2-speed gear box to match your drilling and driving needs#Impact driver delivers 1500 in. lbs. of torque for the most demanding applications#Battery provides up to 20% more run time compared to 18-Volt Ni-Cd (P100)#Battery is 45% lighter weight to reduce user fatigue#Battery features fade-free power for maximum performance#Charger features patented intelliport technology, which protects battery cells, maximizes battery life and conserves energy#Charges the included batteries in 30 minutes#Impact driver: MagTray magnetic holder for convenient placement of screws and bits#Impact driver: on-board bit storage for convenience#Drill and impact driver also works with these batteries (P100, P102, P103, P104, P105, P107, P108) and chargers (P113, P114, P117, P131, P125)#Any 18-Volt ONE+ battery works with any 18-Volt ONE+ tool#Join Ryobi Nation and have an opportunity to win prizes, share your Ryobi power tool experiences and receive exclusive offers for Nation members, Just click on the link to get started https://www.Ryobitools.com/nation#<a target=""_blank"" style=""color:#f96302"" href=https://www.Ryobitools.com/nation/>Join Ryobi Nation and have an opportunity to win prizes, share your Ryobi power tool experiences and receive exclusive offers for Nation members, Just click on the link to get started https://www.Ryobitools.com/nation </a>#1-UL Listed#Yes#Green#Combo Kit#Cordless#Ryobi#2#2#No Additional Features#Cordless#7.9#9.8#9.7#11#No#Impact Driver#Power Tool#18"
196103 v belt	Jason Industrial Dual V-Belt$Dual V Belts replaces both the RMA and FHP number to reduce your V-belt inventory. Replaces both 4L and A style V belts. Up to double the HP rating.Reduces sheave wearReduce inventory carrying only one styleMade to performPriced to complete$	Hoover Replacement V-Belt for WindTunnel Self-Propelled Upright Vacuum Cleaners$Help keep your vacuum operating at peak performance with this Hoover Replacement V-Belt.  For use on Hoover WindTunnel Self-Propelled Upright Vacuum Cleaners. Package includes 1 agitator belt.Replacement agitator V-beltFor use with self-propelled WindTunnel upright modelsIncludes 1 V-belt2 in. width for agitator$Hoover#Replacement agitator V-belt#For use with self-propelled WindTunnel upright models#Includes 1 V-belt#2 in. width for agitator#Hoover#0.5#1#0.25#2 in#Belt
clear finish	Varathane 1 gal. Clear Semi-Gloss 275 VOC Oil-Based Floor Finish Polyurethane (2-Pack)$Varathane 1 gal. Clear Semi-Gloss 275 VOC Oil-Based Floor Finish Polyurethane (2-Pack) is a high-performance polyurethane formulated with patented Aluminum Oxide nano-technology for durable, long lasting protection. Self-leveling formula provides superior scuff, scratch and stain resistance. Apply to wood floors for a warm golden glow. Ideal for high-traffic areas like kitchens and hallways.California residents: see&nbsp;Proposition 65 informationApply to interior wood floorsOver twice as durable as traditional wood finishes1-can covers up to 550 sq. ft.Warm golden glow enhances the natural beauty of woodMaximum scuff and scratch resistance in high-traffic areasFast drying formula, dries to the touch in 4 hoursSelf-leveling formula eliminates brush strokes providing a smooth finishCleans up with mineral spiritsOnline Price includes Paint Care fee in the following states: CA, CO, CT, ME, MN, OR, RI, VT$Roller#Use a synthetic lambs wool applicator#Apply to interior wood floors#Over twice as durable as traditional wood finishes#1-can covers up to 550 sq. ft.#Warm golden glow enhances the natural beauty of wood#Maximum scuff and scratch resistance in high-traffic areas#Fast drying formula, dries to the touch in 4 hours#Self-leveling formula eliminates brush strokes providing a smooth finish#Cleans up with mineral spirits#Online Price includes Paint Care fee in the following states: CA, CO, CT, ME, MN, OR, RI, VT#4 GA-Gallon#550#240#Shellac/Lacquer/Polyurethane#Interior#Varathane#No#4#Oil Based#Oil#Soap & Water#No additional features#Shellac, Lacquer & Polyurethane#No#Semi-Gloss#11#Clear-Crystal Clear	Contractors Wardrobe Silhouette 5 Lite Aluminum Satin Clear Finish Interior Sliding Door$Help provide your passageways with beauty and architectural elements with the Silhouette 60 in. x 81 in. Aluminum Satin Clear Bypass Door. This aluminum door features a satin clear finish and mystique glass for a stylish look. This bypass door helps conserve space and is also designed for commercial door applications.2-1/4 in. Deep rust-proof aluminum ultraglide felt lined top channel for smoother, quieter operationConcealed bottom rolled 1-1/2 in. ball bearing wheels on rust-proof and jump-proof aluminum track for durability and smoother operationHeavy duty rust-proof aluminum tubular side rails for added strengthMystique duratuf tempered safety glass adds privacy while allowing light throughIntegrated handles for a sleek, unobstructed appearanceCommercial grade door for added durability$1.25 in#81 in#60 in#2-1/4 in. Deep rust-proof aluminum ultraglide felt lined top channel for smoother, quieter operation#Concealed bottom rolled 1-1/2 in. ball bearing wheels on rust-proof and jump-proof aluminum track for durability and smoother operation#Heavy duty rust-proof aluminum tubular side rails for added strength#Mystique duratuf tempered safety glass adds privacy while allowing light through#Integrated handles for a sleek, unobstructed appearance#Commercial grade door for added durability#Silver#Satin Clear#Other#Universal/Reversible#60 x 81#1.25 in#Bypass#No Additional Features#Finished#Hardware#Aluminum#Contractors Wardrobe#2 Panel#103
hampton bay table	Hampton Bay Pembrey Rectangular Patio Dining Table$The Pembrey Patio Dining Table is a great central piece to start off your patio collection. The rectangular table comes in an attractive espresso finish and has a symmetrical tabletop design pattern. The table coordinates with any of the Pembrey pieces and can be a great place to host a dinner party or outdoor event. It is also highly durable, and comes with a rust-free aluminum frame.Rust-free aluminum constructionPowder-coated dark brown frame finish70.1 in. x 40 in. rectangular table3 years frame limited warrantyWash with mild solution of soap and water; rinse thoroughlyEasy assembly with included hardware$	Hampton Bay Candler 25.75 in. Oil Rubbed Bronze Table Lamp$The timeless elegance of this lamp is perfect for any home. The 100 watt of lighting can fully illuminate any room. The finish is oil rubbed bronze with subtle highlights. Paneled bell off white shade gives it classic design. 26 in. H.California residents: see&nbsp;Proposition 65 informationOil rubbed bronze finish3 way switchUses 1 x 100 watt bulb not includedCompatible with CFL bulbHome Depot Protection Plan:$No#Bronze#Incandescent,No Bulbs Included#Oil rubbed bronze finish#3 way switch#Uses 1 x 100 watt bulb not included#Compatible with CFL bulb#No#2-UL Recognized,ETL Listed#Plug-in#No#Oil Rubbed Bronze#Traditional#Incandescent#0#Hampton Bay#1#3-Way#14#25.75#2.86#14#Beige/Bisque#14#Bell#Rotary
pipe over pipe clamps	"BESSEY H-Style Pipe Clamp Fixture Set for 3/4 in. Black Pipe$They are exceptionally affordable you buy the set of clamping fixtures (head and tail piece), and then attach them to a length of iron black pipe (not included). A nice feature of the BESSEY ""H"" series pipe clamp fixtures is their height. The extra high base provides industry leading clearance from the work surface. Clamping fixtures are available to fit 1/2 in. and 3/4 in. black pipe. The 3/4 in. Pipe Clamp is designed to be used on any length of 3/4 in. black pipe. This clamp has a clutch disc design for easy adjustments and can be secured at any point along the bar. This clamp meets the rigorous demands of commercial shops, school shops, woodworking or metalworking users.""H"" shaped foot assembly stabilizes the clamp in two dimensions giving dual-axis stabilityExtra high base provides industry leading clearance from the work surfaceCast jaws for durability, smooth action spindleSoft protective pads includedClamping strength and opening size are dependent on length of pipe used (not included)$8.5 in#5.0 in#2.5 in#""H"" shaped foot assembly stabilizes the clamp in two dimensions giving dual-axis stability#Extra high base provides industry leading clearance from the work surface#Cast jaws for durability, smooth action spindle#Soft protective pads included#Clamping strength and opening size are dependent on length of pipe used (not included)#Pipe#600#Red#Clamp#Set#2#0#BESSEY#1#Clamp/ Vise Sets#Hand Tool"	SharkBite 3/4 in. PEX Pipe Talon Clamp (10-Pack)$Clamp 3/4 in. CPVC tubing (not included) with the 3/4 in. x 3/4 in. Plastic Talon Clamps (10-Pack). The clamps are made of plastic for durability and have a collar design.Durable plastic constructionUse with PEX tubingCompatible with 1/2 in. tubingCollar design helps clamp tubing togetherIncludes 6 clampsNote: Product may vary by store.$Pipe Hanger#Pipe Hanger#Durable plastic construction#Use with PEX tubing#Compatible with 1/2 in. tubing#Collar design helps clamp tubing together#Includes 6 clamps#Note: Product may vary by store.#PEX#Plastic#.75#SharkBite#.5#Accessory#0.75#.75#7#.17#1.125
fish wall magnet	Home Decorators Collection Austell 22 in. W Wall Cabinet with Magnet Board in White$Our Austell Mirror Wall Cabinet with Magnet/Chalk Board keeps everyone in the loop. Featuring a classic rectangular frame and simple lines, this mirrored cabinet doubles as a fun message board. Use it in the family bath to add style as well as function.Mirrored door with magnetic closureMagnetic chalkboard on inside of door2 adjustable interior shelvesMirror, poplar, MDF, magnet$6.5 in#26 in#22 in#No#Mirrored door with magnetic closure#Magnetic chalkboard on inside of door#2 adjustable interior shelves#Mirror, poplar, MDF, magnet#Wood#White#White#Wood#22#Home Decorators Collection#Surface Mount#2#Rectangle#22#No Additional Features#No Additional Included Components#50	Stanley 6-1/4 in. Jab Saw with Wood Handle$The Stanley 6-1/4 in. Jab Saw with Wood Handle is specially designed to make cuts in plasterboard. The blade is crafted from steel, is lacquered to protect against corrosion and features a sharpened tip that punches through drywall easily. The hardwood handle is bonded to the blade with epoxy for extra strength and durability.6 in. steel bladeBlade is lacquered for corrosion protectionSharpened tip easily punches through drywall and is great for making plunge cutsPrecision-set teeth are sharpened for efficient cuttingHandle is made with woodHandle is bonded to the blade with epoxy for strength$1.31 in#13.75 in#1.94 in#6.25 in#6 in. steel blade#Blade is lacquered for corrosion protection#Sharpened tip easily punches through drywall and is great for making plunge cuts#Precision-set teeth are sharpened for efficient cutting#Handle is made with wood#Handle is bonded to the blade with epoxy for strength#No#Hand Saw#4.25#Wood#Stanley#0.21#Hand#7#Hand Tool
crock pot water spigot	Fountain Cellar Pots Water Fountain with LED Light$There are four levels in this fountain, water flows from the top pot to the bottom pot. A simple yet beautiful fountain, this distressed look will make the perfect addition in your home or garden. The LED lights make this fountain more attractive in the light.Durable polyresin and fiberglass constructionDimension: 18 in. L x 16 in. W x 23 in. HWeight: 13.86 lbs.Pump includedElectric powerOutput: 110 VoltLine cord: 17 ft.WeatherproofFor outdoor/indoor useHome Depot Protection Plan:$10#Durable polyresin and fiberglass construction#Dimension: 18 in. L x 16 in. W x 23 in. H#Weight: 13.86 lbs.#Pump included#Electric power#Output: 110 Volt#Line cord: 17 ft.#Weatherproof#For outdoor/indoor use#Multi-Colored#Fiberglass#Fountain Cellar#1#4#18#23#16#Yes	WaterWick 6 in. Golden Pothos in Self Watering Pot$Looking for a houseplant you can't fail with, Try golden pothos. It's so easy you might almost think it's silk. And golden pothos is easy to decorate with, too: You can grow it up like a vine or let it trail from a hanging basket. The heart-shaped emerald-green leaves are accented with attractive golden-yellow splashes adding depth and interest to your indoor decor. And a special Costa Farms pot makes no-fuss pothos extra easy to care for: Just check weekly and add more water when there's no more in the bottom of the pot.Attractive and easy to growFilters harmful indoor air pollution from your homeTolerates low lightPlanted in a WaterWick pot that makes watering extra easy$No Blossoms#Epipremnum aureum#Attractive and easy to grow#Filters harmful indoor air pollution from your home#Tolerates low light#Planted in a WaterWick pot that makes watering extra easy#6#Low#16#12#WaterWick#Low
moen  cartridge	MOEN Single-Handle Replacement Cartridge$The MOEN Single-Handle Replacement Cartridge works with most MOEN single-handle faucets. Designed to replace single-handle cartridges installed prior to 1990. The cartridge is crafted with solid brass for strength.Solid brass constructionReplaces single-handle cartridges installed before 1990Fits most MOEN single-handle faucetsWill not work with MOEN PosiTemp and ExactTemp stylesRemoval tool included$Solid brass construction#Replaces single-handle cartridges installed before 1990#Fits most MOEN single-handle faucets#Will not work with MOEN PosiTemp and ExactTemp styles#Removal tool included#Brass#Moen#Brass#MOEN#Cartridge#7.5#0.75#2.62	JAG PLUMBING PRODUCTS Cartridge Removal Tool for MOEN Cartridges$Repair your MOEN brand faucets easily and economically with the JAG PLUMBING PRODUCTS Brand Faucet Tool. This tool is made to remove a wide selection of MOEN Brand Cartridges. The Home Depot and JAG PLUMBING PRODUCTS bring on-line Customers the best replacement and repair parts. Experts in the field of non-OEM repair parts; JAG PLUMBING PRODUCTS offers customers a selection of economic solutions for their every-day home plumbing repairs. The Team at JAG PLUMBING PRODUCTS scours North America to bring The Home Depot customers unique, hard to find parts of the highest quality.Cartridge removal toolMakes removal of 1200, 1225 or 1222 easierSturdy metal construction, this cartridge removal tool was built to lastEasy to use, comes complete with instruction sheet$Cartridge removal tool#Makes removal of 1200, 1225 or 1222 easier#Sturdy metal construction, this cartridge removal tool was built to last#Easy to use, comes complete with instruction sheet#JAG PLUMBING PRODUCTS#for Moen Brand Faucets#1.5#5#4#Manual Extracting Tool
rubber wood flooring paint	G-Floor 7.5 ft. x 17 ft. Rib Standard Grade Slate Grey Garage Floor Cover and Protector$The G-Floor Cover and Protector is manufactured from tough, specially formulated polyvinyl that is resistant to most contaminants commonly found in garage and work environments. It helps prevent concrete deterioration, hides cracks and stains, prevents new stains and creates a moisture barrier. Easy to install, just roll it out and trim if needed. Use one mat for single area protection or multiple mats to provide wall to wall coverage. G-Floor is 100% high quality polyvinyl, not layered with filler material that can crack, split, peel and deteriorate. Tough enough to be used in the garage, attractive enough to be used anywhere; basements, laundry rooms, trailers, vehicles, workshops, warehouses, exercise rooms, offices and utility rooms.Ribbed design helps keep moisture/debris from spreading across floorCan be installed over concrete or wood subfloors, with or without adhesiveAppropriate grade for installation: Above grade, On grade or Below gradeSimply clean with a damp mop or for a deeper cleaning use a de-greasing vinyl floor cleaner as directedEasy to cut and trim for a custom fit using just a utility knifeGreat for use in garage, basement, office, gym, kitchen, bathroom or anywhere$Ribbed design helps keep moisture/debris from spreading across floor#Can be installed over concrete or wood subfloors, with or without adhesive#Appropriate grade for installation: Above grade, On grade or Below grade#Simply clean with a damp mop or for a deeper cleaning use a de-greasing vinyl floor cleaner as directed#Easy to cut and trim for a custom fit using just a utility knife#Great for use in garage, basement, office, gym, kitchen, bathroom or anywhere#Slate Grey#Gray#Commercial / Residential#Garage Floor Roll#Indoor/Outdoor#G-Floor#204#.055 in#74#90#Yes#Yes#Yes	G-Floor 9 ft. x 20 ft. Diamond Tread Commercial Grade Slate Grey Garage Floor Cover and Protector$The G-Floor Cover and Protector is manufactured from tough, specially formulated polyvinyl that is resistant to most contaminants commonly found in garage and work environments. It helps prevent concrete deterioration, hides cracks and stains, prevents new stains, and creates a moisture barrier. Easy to install, just roll it out and trim if needed. Use one mat for single area protection, or multiple mats to provide wall to wall coverage. G-Floor is 100% high quality polyvinyl, not layered with filler material that can crack, split, peel, and deteriorate. Tough enough to be used in the garage, attractive enough to be used anywhere; basements, laundry rooms, trailers, vehicles, workshops, warehouses, exercise rooms, offices, and utility rooms.Diamond tread offers traction and a rugged appearanceCan be installed over concrete or wood subfloors, with or without adhesiveAppropriate for installation on, above or below grade; great for use in basements, kitchens, bathrooms, etc.Simply clean with a damp mop or for a deeper cleaning use a de-greasing vinyl floor cleaner as directedEasy to cut and trim for a custom fit using just a utility knife$Diamond tread offers traction and a rugged appearance#Can be installed over concrete or wood subfloors, with or without adhesive#Appropriate for installation on, above or below grade; great for use in basements, kitchens, bathrooms, etc.#Simply clean with a damp mop or for a deeper cleaning use a de-greasing vinyl floor cleaner as directed#Easy to cut and trim for a custom fit using just a utility knife#Slate Grey#Gray#Commercial / Residential#Garage Floor Roll#Indoor/Outdoor#G-Floor#240#.075 in#128#108#Yes#Yes#Yes
drill auger	ECHO 21.2cc Forward/Reverse Engine Gas Drill$For convenience and versatility, use the ECHO EDR-210 cordless drill. It has a heavy-duty keyed chuck that can hold a 1/2 in. drill shank. Suitable for outdoor jobs such as pest control and digging holes for planting. The reverse feature adds to its usefulness.Assembled dimension: 12.9 in. W x 16.9 in. D x 10.4 in. H5-years consumer warranty21.2cc professional-grade, 2-stroke engineHeavy duty gear reduction converts engine power into tough drilling torqueHeavy duty keyed chuck holds up to 1/2 in. drill shankHome Depot Protection Plan:$	Eagle Tool US 9/16 in. x 24 in. Flexible Auger Style Cable Installer Bit with 3/16 in. Diameter Shank$Eagle Tools has the Best in Flex. This Auger style installer bit has ultra-sharp threads which provide better pulling power and faster drilling speeds. It moves quickly through obstructions to easily drill and fish wire through existing walls. The spring steel shank has been heat treated for optimum strength and memory. Aggressive and self-feeding, this bit has a non-slip three flat grip and fish accommodation holes in both the drill and shank.Made in USAUltra-sharp threads for better pulling powerWire fishing holes in the head and shank3 flat non-slip grip on the chuck end of the flexible spring steel shankAdd a quick switch hex to adapt to a quick change chuckApplication: wood$
sanding sponce	3M Pro Grade Precision 2-1/2 in. x 4-1/2 in. x 1 in. 36 Grit X-Coarse Block Sanding Sponge$3M Pro Grade Precision Sanding Sponge is ideal for sanding painted surfaces. Also resists loading which allows for larger sanding coverage. Block sponge ideal for sanding flat surfaces. 36 grit.Lasts 5X longer compared to 3M conventional sandpaperAnti-load coating for long life33% increased cut over 3M conventional abrasive of comparable gritDurable, flexible foamCan be used wet or dryCan be used on all surfacesRinse and reuseFor the best results, sand with the grain of the surface and work through a sequence of grits, from coarse to very fine, skipping no more than 1 grit between each sanding step (other grits not included)Click to see full product brochure.$Lasts 5X longer compared to 3M conventional sandpaper#Anti-load coating for long life#33% increased cut over 3M conventional abrasive of comparable grit#Durable, flexible foam#Can be used wet or dry#Can be used on all surfaces#Rinse and reuse#For the best results, sand with the grain of the surface and work through a sequence of grits, from coarse to very fine, skipping no more than 1 grit between each sanding step (other grits not included)#36#No#3M#1#Sanding Sponges#1.063#4.5#1#0.08#2.5#Yes#Extra Coarse#Yes	3M Fine to Medium All-Purpose Drywall Sanding Sponge (2-Pack)$The 3M Fine to Medium All-Purpose Drywall Sanding Sponge (2-Pack) is used for dry or wet sanding on wood, paint, drywall, metal and plastic. Simply rinse sponge off after use and it is ready for next time.For dry or wet sanding of wood, paint, plastic, drywall and metalUsed for fine to medium sanding projectsConformableCan be rinsed and reused$For dry or wet sanding of wood, paint, plastic, drywall and metal#Used for fine to medium sanding projects#Conformable#Can be rinsed and reused#120,80#No#3M#2#Sanding Supplies and Steel Wool#2.25#4.625#1 in#0.13#2.75#Special Values#Yes#Fine,Medium#Yes
slip joint	DBHL 1-1/2 in. x 1-1/4 in., 1-1/4 in. ID, 1-3/4 in. OD Slip-Joint Washer$Allows connection of 1.25 in. OD to 1.5 in. OD Slip Joint. Rubber washers are designed for use with brass or plastic slip joint connections. Washer will fit 1.5 or 1.25 in. connections.Made of rubberSlip-joint designEasy installationComes in individual printed bag$	Channellock 12 in. Tongue and Groove Pliers$The Channellock 12 in. Tongue and Groove Plier has 7 adjustments and a 2-1/4 in. capacity. It features right-angle teeth that grip in all directions for maximum bite and undercut tongue and grooves for strong, non-slip jaw action. This plier is built to last with a PermaLock fastener to eliminate nut and bolt failure, patented reinforcing edge to minimize stress breakage and right angle, laser heat-treated teeth to provide a better, longer lasting grip.California residents: see&nbsp;Proposition 65 informationRight angle, laser heat-treated teeth grip better and last longerUndercut tongue and groove design won't slipPermaLock fastener eliminates nut and bolt failurePatented reinforcing edge minimizes stress breakageChannellock uses high-carbon C1080 steel for superior performance on the job and specially coated for ultimate rust preventionChannellock blue grips for comfort$Right angle, laser heat-treated teeth grip better and last longer#Undercut tongue and groove design won't slip#PermaLock fastener eliminates nut and bolt failure#Patented reinforcing edge minimizes stress breakage#Channellock uses high-carbon C1080 steel for superior performance on the job and specially coated for ultimate rust prevention#Channellock blue grips for comfort#Adjustable#Slip Joint Pliers#7#Other#Individual#No#2.25#1.12#Channellock#1#12#0.5#1.5#Hand Tool
